Ticker,Name
ACY,Aerocentury Corp
IVR,Invesco Mortgage Capital Inc
RBCN,Rubicon Technology
LM,Legg Mason Inc
ANF,Abercrombie & Fitch Company
PFSI,Pennymac Financial Services IN
CORR,Corenergy Infrastructure Trust Inc
PANL,Pangaea Logistics So
UEPS,Net 1 Ueps Techs Inc
SPRT,Support.com Inc
QRHC,Quest Resource
CDR,Cedar Realty Trust Inc
CIT,Cit Group Inc
ARTW,Art S Way MFG Company
RFP,Resolute Forest Products Inc
NES,Nuverra Environmental Solutions
DX,Dynex Capital
ARR,Armour Residential R
MMAC,Mma Capital Mngt
IOR,Income Opportunity Realty Trust
MSL,MIDSOUTH BANCORP INC
NTWK,Netsol Tech Inc
CADC,China Advanced Construction
AGFS,Agrofresh Solutions
CARV,Carver Bancorp
CIM,Chimera Investment Corp
ACRE,Ares Commercial Real Estate Cor
GTS,Triple-S Management Corp
RELL,Richardson Electrncs
DYN,Dyne Therapeutics Inc
KELYA,Kelly Svcs Cl A
UBOH,United Bancshares
CALI,China Auto Logistics Inc.
PDLI,Pdl Biopharma Inc
MTEX,Mannatech Inc
WHLR,Wheeler Real Estate
FPI,Farmland Partners Inc
AHT,Ashford Hospitality Trust Inc
TUES,Tuesday Morning Company
OCC,Optical Cable Corp
LUB,Luby's Inc
UAN,Cvr Partners LP
ACTG,Acacia Res-Acacia
ENLC,Enlink Midstream Llc
GIFI,Gulf Island Fab
RDC,ROWAN COMPANIES PLC
AWX,Avalon Holdings Corp
CVEO,Civeo Corp
LIVE,Live Ventures
ESTE,Earthstone Energy
REGI,Renewable Energy
RUN,Sunrun Inc
AMC,Amc Entertainment Holdings Inc
SENEA,Seneca Foods Cp A
DEST,DESTINATION MATERNITY CORP
SD,Sandridge Energy Inc
EEP,ENBRIDGE ENERGY PARTNERS L P
HPJ,Hong Kong Highpower Technology
NHLD,National Holdings
BBG,BARRETT BILL CORP
AAME,Atlantic Amer Cp
BCEI,Bonanza Creek Energy Inc
MCF,Contango Oil & Gas Company
NYMT,New York Mtge Trust
CSS,CSS INDS INC
PHII,PHI INC
CMO,Capstead Mortgage Corp
SANW,S&W Seed Company
TWO,Two Harbors Investments Corp
CTG,Computer Task Gp Inc
PEIX,Alto Ingredients Inc
CAAS,China Automotive Sys
BPOP,Popular Inc
RWT,Redwood Trust
CXDC,China Xd Plastics Company
MNK,Mallinckrodt Plc
DARE,Dare Bioscience Inc
JVA,Coffee Holding Company
ACET,Adicet Bio Inc
CYH,Community Health Systems
JCS,Commun Systems Inc
BBOX,BLACK BOX CORP DEL
TIS,ORCHIDS PAPER PRODS CO DEL
SNFCA,Security Natl Finl
MEET,The Meet Group
TORM,Tor Minerals International Inc
GLRE,Greenlight Cap. Re.
MCC,Medley Capital Corp
