Ticker,Name
ABR,Arbor Realty Trust
ACY,Aerocentury Corp
IVR,Invesco Mortgage Capital Inc
NWSA,News Cp Cl A
SGMA,Sigmatron Intl Inc
RBCN,Rubicon Technology
FRBA,First Bank
BBU,Brookfield Business Partners LP
NWS,News Cp Cl B
SORL,Sorl Auto Parts Inc
GLOG,Gaslog Ltd
RCKY,Rocky Brands Inc
CNO,Cno Financial Group
LM,Legg Mason Inc
AER,Aercap Holdings N.V.
NMM,Navios Maritime Partners LP
SBLK,Star Bulk Carriers
DSWL,Deswell Inds Inc
IRS,Irsa Inversiones Y Representaciones S.A.
ANF,Abercrombie & Fitch Company
GNK,Genco Shipping & Trading Ltd
SPLP,Steel Partners Hlds
BRT,BRT Realty Trust
TGP,Teekay Lng Partners LP
CLNT,Cleantech Solutions International Inc
PFSI,Pennymac Financial Services IN
WSCI,Wsi Industries Inc.
ALSK,Alaska Commun Sys
HK,HALCON RES CORP
MVC,MVC Capital
PRPH,Prophase Labs Inc
CORR,Corenergy Infrastructure Trust Inc
BCTF,Bancorp 34 Inc
DO,Diamond Offshore Drilling
IHC,Independence Holding Company
WILC,G Willi-Food Intl
SB,Safe Bulkers Inc
PANL,Pangaea Logistics So
OSN,Ossen Innovation Company
APTS,Preferred Apartment Communities
PCO,PENDRELL CORP
UEPS,Net 1 Ueps Techs Inc
GASS,Stealthgas Inc
BOSC,Bos Better Online
SPRT,Support.com Inc
SVVC,Firsthand Technology
QRHC,Quest Resource
MOS,Mosaic Company
CRR,CARBO CERAMICS INC
VRS,Verso Corp
OPY,Oppenheimer Holdings
CDR,Cedar Realty Trust Inc
GFA,GAFISA S A
ATV,Acorn International
JASO,JA SOLAR HOLDINGS CO LTD
CZZ,Cosan Ltd
VOYA,VOYA Financial Inc
CEQP,Crestwood Equity Partners LP
NWHM,New Home CO Llc
OPB,Opus Bank
GLBL,TERRAFORM GLOBAL INC
APVO,Aptevo Therapeutics Inc
CIT,Cit Group Inc
HMG,Hmg/Courtland Properties
ARTW,Art S Way MFG Company
RFP,Resolute Forest Products Inc
NES,Nuverra Environmental Solutions
MFIN,Medallion Fin Cp
GLF,GULFMARK OFFSHORE INC
