Metric,Criteria,Value,,,,,,
Price to book ,<,1,,,,,,
Market Cap ,<,"$10,000,000,000.00",,,,,,
IPO Date,>,5,,,,,,
Price,<,2,,,,,,
,,,,,,,,
No.,Ticker,Company Name,Sector,Industry,Country,Market Cap,Price,Volume
1,AAIC,Arlington Asset Investment Corp.,Real Estate,REIT - Mortgage,USA,123.3,3.62,185893
2,AAME,Atlantic American Corporation,Financial,Insurance - Life,USA,48.2,2.38,17069
3,AAN,"The Aaron's Company, Inc.",Industrials,Rental & Leasing Services,USA,589.85,16.94,502237
4,AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,USA,259.62,11.01,883341
5,AAWW,"Atlas Air Worldwide Holdings, Inc.",Industrials,Airports & Air Services,USA,1456.14,51.82,501518
6,ABIO,"ARCA biopharma, Inc.",Healthcare,Biotechnology,USA,39.02,4.2,473998
7,ABTX,"Allegiance Bancshares, Inc.",Financial,Banks - Regional,USA,730.34,35.18,94419
8,AC,"Associated Capital Group, Inc.",Financial,Capital Markets,USA,728.39,32.84,20368
9,ACNB,ACNB Corporation,Financial,Banks - Regional,USA,222.19,25.05,17303
10,ACRE,Ares Commercial Real Estate Corporation,Real Estate,REIT - Mortgage,USA,388.62,11.32,230376
11,ADX,"Adams Diversified Equity Fund, Inc.",Financial,Closed-End Fund - Equity,USA,1862.83,17.14,227375
12,AE,"Adams Resources & Energy, Inc.",Energy,Oil & Gas Integrated,USA,103.86,24.21,12310
13,AEL,American Equity Investment Life Holding Company,Financial,Insurance - Life,USA,2724.59,29.19,728995
14,AFB,AllianceBernstein National Municipal Income Fund,Financial,Closed-End Fund - Debt,USA,416.23,14.48,25693
15,AFT,Apollo Senior Floating Rate Fund Inc.,Financial,Asset Management,USA,226.28,14.53,47781
16,AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,USA,8625.24,15.6,8840662
17,AHC,A.H. Belo Corporation,Communication Services,Publishing,USA,48.2,2.2,166591
18,AINV,Apollo Investment Corporation,Financial,Asset Management,USA,796.75,12.1,655983
19,AIV,Apartment Investment and Management Company,Real Estate,REIT - Residential,USA,702.59,4.59,4139860
20,AJX,Great Ajax Corp.,Real Estate,REIT - Mortgage,USA,235.02,9.85,73714
21,AKER,"Akers Biosciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,24.71,2.64,193187
22,AKR,Acadia Realty Trust,Real Estate,REIT - Retail,USA,1322.55,14.5,963690
23,AL,Air Lease Corporation,Industrials,Rental & Leasing Services,USA,4785.32,39.63,698686
24,ALEX,"Alexander & Baldwin, Inc.",Real Estate,REIT - Diversified,USA,1138.84,15.12,403057
25,AMBC,"Ambac Financial Group, Inc.",Financial,Insurance - Specialty,USA,678.89,14.42,484183
26,AMNB,American National Bankshares Inc.,Financial,Banks - Regional,USA,314.44,27.95,41600
27,AMRB,American River Bankshares,Financial,Banks - Regional,USA,79.59,12.92,5656
28,AMS,American Shared Hospital Services,Healthcare,Medical Care Facilities,USA,14.79,2.52,56014
29,ANAT,"American National Group, Inc.",Financial,Insurance - Diversified,USA,2427.8,88.38,36643
30,ANDE,"The Andersons, Inc.",Consumer Defensive,Food Distribution,USA,805.69,23,215235
31,ANH,Anworth Mortgage Asset Corporation,Real Estate,REIT - Mortgage,USA,252.1,2.44,615219
32,APLE,"Apple Hospitality REIT, Inc.",Real Estate,REIT - Hotel & Motel,USA,2897.98,12.48,2224635
33,APTS,"Preferred Apartment Communities, Inc.",Real Estate,REIT - Residential,USA,367.27,7.19,626946
34,AR,Antero Resources Corporation,Energy,Oil & Gas E&P,USA,2044.59,6.94,11222215
35,ARI,"Apollo Commercial Real Estate Finance, Inc.",Real Estate,REIT - Mortgage,USA,1651.29,11.18,1939786
36,ARL,"American Realty Investors, Inc.",Real Estate,Real Estate - Development,USA,145.42,8.63,17160
37,ARLP,"Alliance Resource Partners, L.P.",Energy,Thermal Coal,USA,648.72,5.03,512679
38,ARR,"ARMOUR Residential REIT, Inc.",Real Estate,REIT - Mortgage,USA,731.52,11.17,1209145
39,ASA,ASA Gold and Precious Metals Limited,Financial,Asset Management,USA,406.05,21.05,86939
40,ASB,Associated Banc-Corp,Financial,Banks - Regional,USA,2812.27,17.94,1914522
41,ASMB,"Assembly Biosciences, Inc.",Healthcare,Biotechnology,USA,183.92,5.58,1345345
42,ASRV,"AmeriServ Financial, Inc.",Financial,Banks - Regional,USA,58.21,3.4,22593
43,ASUR,"Asure Software, Inc.",Technology,Software - Application,USA,156.81,8.18,84006
44,ATAX,"America First Multifamily Investors, L.P.",Financial,Mortgage Finance,USA,276.1,4.48,447538
45,ATLO,Ames National Corporation,Financial,Banks - Regional,USA,208.89,22.51,27871
46,AUB,Atlantic Union Bankshares Corporation,Financial,Banks - Regional,USA,2644.61,32.84,324659
47,AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,USA,3549.01,35.31,2180604
48,AWF,AllianceBernstein Global High Income Fund,Financial,Closed-End Fund - Debt,USA,1008.03,11.69,134095
