Ticker, Name
ABR,Arbor Realty Trust
ACY,Aerocentury Corp
IVR,Invesco Mortgage Capital Inc
NWSA,News Cp Cl A
SGMA,Sigmatron Intl Inc
RBCN,Rubicon Technology
NWS,News Cp Cl B
SORL,Sorl Auto Parts Inc
RCKY,Rocky Brands Inc
CNO,Cno Financial Group
LM,Legg Mason Inc
ANF,Abercrombie & Fitch Company
GNK,Genco Shipping & Trading Ltd
SPLP,Steel Partners Hlds
BRT,BRT Realty Trust
PFSI,Pennymac Financial Services IN
WSCI,Wsi Industries Inc.
ALSK,Alaska Commun Sys
MVC,MVC Capital
PRPH,Prophase Labs Inc
CORR,Corenergy Infrastructure Trust Inc
DO,Diamond Offshore Drilling
IHC,Independence Holding Company
PANL,Pangaea Logistics So
APTS,Preferred Apartment Communities
UEPS,Net 1 Ueps Techs Inc
SPRT,Support.com Inc
SVVC,Firsthand Technology
QRHC,Quest Resource
MOS,Mosaic Company
CRR,CARBO CERAMICS INC
VRS,Verso Corp
OPY,Oppenheimer Holdings
CDR,Cedar Realty Trust Inc
VOYA,VOYA Financial Inc
CEQP,Crestwood Equity Partners LP
NWHM,New Home CO Llc
CIT,Cit Group Inc
HMG,Hmg/Courtland Properties
ARTW,Art S Way MFG Company
RFP,Resolute Forest Products Inc
NES,Nuverra Environmental Solutions
MFIN,Medallion Fin Cp
GLF,GULFMARK OFFSHORE INC
ARI,Apollo Commercial Real Estate
SBFG,Sb Financial Group
ZEUS,Olympic Steel Inc
DX,Dynex Capital
MIND,Mitcham Industries Inc
ARR,Armour Residential R
MITT,Ag Mortgage Investment Trust
ASRV,Ameriserv Financial
NGL,Ngl Energy Partners LP
MMAC,Mma Capital Mngt
IOR,Income Opportunity Realty Trust
MSL,MIDSOUTH BANCORP INC
NTWK,Netsol Tech Inc
CADC,China Advanced Construction
AGFS,Agrofresh Solutions
DCP,Dcp Midstream LP
CARV,Carver Bancorp
AYR,Aircastle Ltd
NWPX,Northwest Pipe Company
CIM,Chimera Investment Corp
ACRE,Ares Commercial Real Estate Cor
MUR,Murphy Oil Corp
GTS,Triple-S Management Corp
RELL,Richardson Electrncs
DYN,Dyne Therapeutics Inc
